"Cocunut","Mortgage_YN","AGE_AT_ORIGINATION","AGE","YEARS_WITH_BANK","MARTIAL_STATUS","EDUCATION","EMPLOYMENT","GENDER","CUST_INCOME","CURRENT_ADDRESS_DATE","CURRENT_JOB_DATE","CURRENT_WITH_BANK_DATE","CURRENT_BALANCE_EUR","YEARS_WITH_CURRENT_JOB"
74595,"N",NA,53,11,"D","BCR","STE","M",284.1307692,1970-01-01,1994-11-01,2005-11-23,2269.547846,28.7145790554415
74602,"N",NA,27,2,"S","HGH","STE","M",327.0261538,2013-09-01,2012-08-15,2015-01-22,4853.134231,10.9267624914442
74603,"N",NA,64,0,"W","HGH","RET","F",156.5276154,1953-12-05,9999-10-01,2016-08-24,2228.960462,15.8110882956879
74605,"N",NA,51,12,"S","BCR","STE","F",362.1295385,2006-01-01,2011-11-14,2005-03-29,2268.491692,11.6796714579055
74606,"N",NA,43,1,"M","HGH","PVE","F",171.5384615,1995-01-01,2006-05-01,2015-09-23,4397.703,17.2183436002738
74614,"N",NA,66,11,"W","HGH","RET","F",209.5648462,1975-10-26,9999-10-01,2005-08-04,4787.107462,15.8110882956879
74616,"N",NA,49,12,"S","BCR","PVE","F",267.5769231,1999-01-01,1998-05-01,2005-04-14,5259.793077,25.2183436002738
74626,"N",NA,69,8,"M","HGH","RET","M",468.0739231,2000-01-01,9999-10-01,2009-04-11,1509.077077,15.8110882956879
74628,"N",NA,68,2,"M","HGH","RET","F",165.1803077,1975-03-05,9999-10-01,2015-06-08,77.24692308,15.8110882956879
74633,"N",NA,63,3,"M","HGH","RET","F",170.4847692,1992-01-01,9999-10-01,2014-01-13,2386.379308,15.8110882956879
74634,"N",NA,29,8,"S","HGH","PVE","M",320.3076923,1988-05-10,2015-05-04,2009-02-02,2318.514923,8.21081451060917
74638,"N",NA,56,11,"M","HGH","STE","F",360.6346154,2008-05-05,1984-04-09,2005-09-14,2268.491692,39.2772073921971
74639,"N",NA,39,11,"M","HGH","PVE","F",232.3823846,2005-01-01,2005-10-03,2005-10-31,2241.570077,17.7932922655715
74641,"N",NA,50,8,"M","HGH","PVE","M",192.3076923,2002-10-01,2013-08-01,2009-05-11,5561.800846,9.96577686516085
74642,"N",NA,68,0,"W","HGH","RET","M",277.1030769,2013-05-01,9999-10-01,2016-08-30,2333.943308,15.8110882956879
74645,"N",NA,59,11,"M","HGH","RET","F",245.5092308,1998-09-23,9999-10-01,2005-07-18,2878.530077,15.8110882956879
74649,"N",NA,23,3,"S","HGH","PVE","M",282.3135385,1994-09-24,2015-08-01,2014-07-02,3042.855462,7.96714579055442
74651,"N",NA,33,0,"M","HGH","PVE","M",465.8230769,1984-11-11,2015-12-24,2016-08-23,4615.384615,7.57015742642026
74657,"N",NA,22,0,"S","HGH","PVE","M",276.9230769,1995-07-15,2015-11-01,2016-08-18,216.7595385,7.71526351813826
74658,"N",NA,62,10,"M","SEC","RET","M",144.42,1986-01-01,9999-10-01,2007-01-09,2269.547846,15.8110882956879
74661,"N",NA,68,9,"M","HGH","RET","M",261.2208462,1985-01-01,9999-10-01,2008-03-17,1543.777615,15.8110882956879
74663,"N",NA,32,10,"M","HGH","PVE","F",373.5577692,2007-03-18,2004-03-01,2006-07-29,8063.083231,19.3839835728953
74666,"N",NA,63,11,"M","BCR","STE","M",292.2132308,1994-11-01,1996-04-20,2005-11-29,4536.983462,27.2470910335387
74670,"N",NA,61,12,"M","BCR","RET","M",341.6868462,1970-05-01,9999-10-01,2004-10-08,2288.700154,15.8110882956879
74674,"N",NA,44,4,"M","HGH","PVE","F",384.6153846,2013-07-01,2006-08-01,2012-11-09,1400.717462,16.9664613278576
74675,"N",NA,44,12,"M","HGH","PVE","M",1103.267538,2007-02-28,2004-08-01,2004-08-20,1943.636692,18.9650924024641
74678,"N",NA,44,12,"M","HGH","PVE","M",175.2538462,2004-02-28,2011-03-25,2004-09-03,4570.133538,12.3203285420945
74680,"N",NA,66,3,"D","HGH","RET","F",330.4083077,1986-03-01,1998-09-23,2013-07-06,713.2308462,24.8213552361396
